name,slug,topic_type,aliases,parent_slugs,extensions,rss_feed_url,rss_feed_title,notes,referral_validation_slug,referral_user_help_text,referral_hostname,referral_pathname,referral_example_url,referral_company_slug
Dropbox Referral Program,dropbox-referral-program,referral_program,,dropbox,,,,,dropbox_referral,Share your Dropbox referral link,dropbox.com,/referrals/%,https://dropbox.com/referrals/abc123,dropbox
Notion Referral Program,notion-referral-program,referral_program,,notion,,,,,notion_referral,Share your Notion referral link,notion.so,/r/%,https://notion.so/r/abc123,notion
Canva Referral Program,canva-referral-program,referral_program,,canva,,,,,canva_referral,Share your Canva referral link,canva.com,/join/%,https://canva.com/join/abc123,canva
Airtable Referral Program,airtable-referral-program,referral_program,,airtable,,,,,airtable_referral,Share your Airtable referral link,airtable.com,/invite/%,https://airtable.com/invite/abc123,airtable
DigitalOcean Referral Program,digitalocean-referral-program,referral_program,,digitalocean,,,,,digitalocean_referral,Share your DigitalOcean referral link,m.do.co,/%,https://m.do.co/c/abc123,digitalocean
Evernote Referral Program,evernote-referral-program,referral_program,,evernote,,,,,evernote_referral,Share your Evernote referral link,evernote.com,/referral/%,https://evernote.com/referral/abc123,evernote
Dashlane Referral Program,dashlane-referral-program,referral_program,,dashlane,,,,,dashlane_referral,Share your Dashlane referral link,dashlane.com,/invite/%,https://dashlane.com/invite/abc123,dashlane
Todoist Referral Program,todoist-referral-program,referral_program,,todoist,,,,,todoist_referral,Share your Todoist referral link,todoist.com,/r/%,https://todoist.com/r/abc123,todoist
Backblaze Referral Program,backblaze-referral-program,referral_program,,backblaze,,,,,backblaze_referral,Share your Backblaze referral link,backblaze.com,/r/%,https://backblaze.com/r/abc123,backblaze
Gusto Referral Program,gusto-referral-program,referral_program,,gusto,,,,,gusto_referral,Share your Gusto referral link,gusto.com,/r/%,https://gusto.com/r/abc123,gusto
Square Referral Program,square-referral-program,referral_program,,square,,,,,square_referral,Share your Square referral link,squareup.com,/invite/%,https://squareup.com/invite/abc123,square
Toast Referral Program,toast-referral-program,referral_program,,toast,,,,,toast_referral,Share your Toast referral link,pos.toasttab.com,/refer/%,https://pos.toasttab.com/refer/abc123,toast
Duolingo Referral Program,duolingo-referral-program,referral_program,,duolingo,,,,,duolingo_referral,Share your Duolingo referral link from the app,invite.duolingo.com,/%,https://invite.duolingo.com/abc123,duolingo
Coursera Referral Program,coursera-referral-program,referral_program,,coursera,,,,,coursera_referral,Share your Coursera referral link,coursera.org,/invite/%,https://coursera.org/invite/abc123,coursera
Skillshare Referral Program,skillshare-referral-program,referral_program,,skillshare,,,,,skillshare_referral,Share your Skillshare referral link,skillshare.com,/r/%,https://skillshare.com/r/abc123,skillshare
Morning Brew Referral Program,morning-brew-referral-program,referral_program,,morning-brew,,,,,morning_brew_referral,Share your Morning Brew referral link,morningbrew.com,/daily/r/%,https://morningbrew.com/daily/r/abc123,morning-brew
Peloton Referral Program,peloton-referral-program,referral_program,,peloton,,,,,peloton_referral,Share your Peloton referral link,onepeloton.com,/invite/%,https://onepeloton.com/invite/abc123,peloton
ClassPass Referral Program,classpass-referral-program,referral_program,,classpass,,,,,classpass_referral,Share your ClassPass referral link,classpass.com,/refer/%,https://classpass.com/refer/abc123,classpass
Whoop Referral Program,whoop-referral-program,referral_program,,whoop,,,,,whoop_referral,Share your Whoop referral link,join.whoop.com,/%,https://join.whoop.com/abc123,whoop
Rover Referral Program,rover-referral-program,referral_program,,rover,,,,,rover_referral,Share your Rover referral link,rover.com,/refer/%,https://rover.com/refer/abc123,rover
Binance.US Referral Program,binance-us-referral-program,referral_program,,binance-us,,,,,binance_us_referral,Share your Binance.US referral link,accounts.binance.us,/register,https://accounts.binance.us/register?ref=abc123,binance-us
Crypto.com Referral Program,crypto-com-referral-program,referral_program,,crypto-com,,,,,crypto_com_referral,Share your Crypto.com referral link,crypto.com,/app/%,https://crypto.com/app/abc123,crypto-com
Kraken Referral Program,kraken-referral-program,referral_program,,kraken,,,,,kraken_referral,Share your Kraken referral link,kraken.com,/sign-up,https://kraken.com/sign-up?ref=abc123,kraken
Gemini Exchange Referral Program,gemini-exchange-referral-program,referral_program,,gemini-exchange,,,,,gemini_exchange_referral,Share your Gemini referral link,gemini.com,/share/%,https://gemini.com/share/abc123,gemini-exchange
Honeygain Referral Program,honeygain-referral-program,referral_program,,honeygain,,,,,honeygain_referral,Share your Honeygain referral link,r.honeygain.me,/%,https://r.honeygain.me/abc123,honeygain
Dollar Shave Club Referral Program,dollar-shave-club-referral-program,referral_program,,dollar-shave-club,,,,,dollar_shave_club_referral,Share your Dollar Shave Club referral link,dollarshaveclub.com,/refer/%,https://dollarshaveclub.com/refer/abc123,dollar-shave-club
Sam's Club Referral Program,sams-club-referral-program,referral_program,,sams-club,,,,,sams_club_referral,Share your Sam's Club referral link,samsclub.com,/refer/%,https://samsclub.com/refer/abc123,sams-club
Casper Referral Program,casper-referral-program,referral_program,,casper,,,,,casper_referral,Share your Casper referral link,casper.com,/referral/%,https://casper.com/referral/abc123,casper
Bombas Referral Program,bombas-referral-program,referral_program,,bombas,,,,,bombas_referral,Share your Bombas referral link,bombas.com,/refer/%,https://bombas.com/refer/abc123,bombas
Eight Sleep Referral Program,eight-sleep-referral-program,referral_program,,eight-sleep,,,,,eight_sleep_referral,Share your Eight Sleep referral link,eightsleep.com,/refer/%,https://eightsleep.com/refer/abc123,eight-sleep
Purple Referral Program,purple-mattress-referral-program,referral_program,,purple-mattress,,,,,purple_referral,Share your Purple referral link,purple.com,/refer/%,https://purple.com/refer/abc123,purple-mattress
Brooklinen Referral Program,brooklinen-referral-program,referral_program,,brooklinen,,,,,brooklinen_referral,Share your Brooklinen referral link,brooklinen.com,/refer/%,https://brooklinen.com/refer/abc123,brooklinen
Away Referral Program,away-referral-program,referral_program,,away,,,,,away_referral,Share your Away referral link,awaytravel.com,/referral/%,https://awaytravel.com/referral/abc123,away
Quip Referral Program,quip-referral-program,referral_program,,quip,,,,,quip_referral,Share your Quip referral link,getquip.com,/referral/%,https://getquip.com/referral/abc123,quip
Everlane Referral Program,everlane-referral-program,referral_program,,everlane,,,,,everlane_referral,Share your Everlane referral link,everlane.com,/r/%,https://everlane.com/r/abc123,everlane
Vuori Referral Program,vuori-referral-program,referral_program,,vuori,,,,,vuori_referral,Share your Vuori referral link,vuori.com,/r/%,https://vuori.com/r/abc123,vuori
Bonobos Referral Program,bonobos-referral-program,referral_program,,bonobos,,,,,bonobos_referral,Share your Bonobos referral link,bonobos.com,/invite/%,https://bonobos.com/invite/abc123,bonobos
Rent the Runway Referral Program,rent-the-runway-referral-program,referral_program,,rent-the-runway,,,,,rent_the_runway_referral,Share your Rent the Runway referral link,renttherunway.com,/invite/%,https://renttherunway.com/invite/abc123,rent-the-runway
Italic Referral Program,italic-referral-program,referral_program,,italic,,,,,italic_referral,Share your Italic referral link,italic.com,/r/%,https://italic.com/r/abc123,italic
Bespoke Post Referral Program,bespoke-post-referral-program,referral_program,,bespoke-post,,,,,bespoke_post_referral,Share your Bespoke Post referral link,bespokepost.com,/r/%,https://bespokepost.com/r/abc123,bespoke-post
Hulu Referral Program,hulu-referral-program,referral_program,,hulu,,,,,hulu_referral,Share your Hulu referral link,hulu.com,/referral/%,https://hulu.com/referral/abc123,hulu
Planet Fitness Referral Program,planet-fitness-referral-program,referral_program,,planet-fitness,,,,,planet_fitness_referral,Share your Planet Fitness referral link,planetfitness.com,/referrals/%,https://planetfitness.com/referrals/abc123,planet-fitness
23andMe Referral Program,23andme-referral-program,referral_program,,23andme,,,,,twenty3andme_referral,Share your 23andMe referral link,23andme.com,/invite/%,https://23andme.com/invite/abc123,23andme
Ohmconnect Referral Program,ohmconnect-referral-program,referral_program,,ohmconnect,,,,,ohmconnect_referral,Share your OhmConnect referral link,ohm.co,/%,https://ohm.co/abc123,ohmconnect
Zola Referral Program,zola-referral-program,referral_program,,zola,,,,,zola_referral,Share your Zola referral link,zola.com,/invite/%,https://zola.com/invite/abc123,zola
Ritual Referral Program,ritual-referral-program,referral_program,,ritual,,,,,ritual_referral,Share your Ritual referral link,ritual.com,/refer/%,https://ritual.com/refer/abc123,ritual
Crumbl Cookies Referral Program,crumbl-cookies-referral-program,referral_program,,crumbl-cookies,,,,,crumbl_referral,Share your Crumbl referral link from the app,crumblcookies.com,/invite/%,https://crumblcookies.com/invite/abc123,crumbl-cookies
Claude Referral Program,claude-referral-program,referral_program,,claude-ai,,,,,claude_referral,Share your Claude referral link,claude.ai,/referral/%,https://claude.ai/referral/abc123,claude-ai
Cursor Referral Program,cursor-referral-program,referral_program,,cursor-ai,,,,,cursor_referral,Share your Cursor referral link,cursor.com,/referral/%,https://cursor.com/referral/abc123,cursor-ai
Perplexity Referral Program,perplexity-referral-program,referral_program,,perplexity,,,,,perplexity_referral,Share your Perplexity referral link,perplexity.ai,/referral/%,https://perplexity.ai/referral/abc123,perplexity
HelloFresh Referral Program,hellofresh-referral-program,referral_program,,hellofresh,,,,,hellofresh_referral,Share your HelloFresh referral link,hellofresh.com,/pages/share/%,https://hellofresh.com/pages/share/abc123,hellofresh
Blue Apron Referral Program,blue-apron-referral-program,referral_program,,blue-apron,,,,,blue_apron_referral,Share your Blue Apron referral link,blueapron.com,/invite/%,https://blueapron.com/invite/abc123,blue-apron
NordVPN Referral Program,nordvpn-referral-program,referral_program,,nordvpn,,,,,nordvpn_referral,Share your NordVPN referral link,ref.nordvpn.com,/%,https://ref.nordvpn.com/abc123,nordvpn
1Password Referral Program,1password-referral-program,referral_program,,1password,,,,,one_password_referral,Share your 1Password referral link,1password.com,/referral/%,https://1password.com/referral/abc123,1password
Calm Referral Program,calm-referral-program,referral_program,,calm,,,,,calm_referral,Share your Calm referral link,calm.com,/referral/%,https://calm.com/referral/abc123,calm
Headspace Referral Program,headspace-referral-program,referral_program,,headspace,,,,,headspace_referral,Share your Headspace referral link,headspace.com,/invite/%,https://headspace.com/invite/abc123,headspace
Noom Referral Program,noom-referral-program,referral_program,,noom,,,,,noom_referral,Share your Noom referral link,noom.com,/referral/%,https://noom.com/referral/abc123,noom
StockX Referral Program,stockx-referral-program,referral_program,,stockx,,,,,stockx_referral,Share your StockX referral link,stockx.com,/referral/%,https://stockx.com/referral/abc123,stockx
US Mobile Referral Program,us-mobile-referral-program,referral_program,,us-mobile,,,,,us_mobile_referral,Share your US Mobile referral link,usmobile.com,/referral/%,https://usmobile.com/referral/abc123,us-mobile
Superhuman Referral Program,superhuman-referral-program,referral_program,,superhuman,,,,,superhuman_referral,Share your Superhuman referral link,superhuman.com,/refer/%,https://superhuman.com/refer/abc123,superhuman
Raycast Referral Program,raycast-referral-program,referral_program,,raycast,,,,,raycast_referral,Share your Raycast referral link,raycast.com,/referral/%,https://raycast.com/referral/abc123,raycast
Warp Referral Program,warp-referral-program,referral_program,,warp-terminal,,,,,warp_referral,Share your Warp referral link,app.warp.dev,/referral/%,https://app.warp.dev/referral/abc123,warp-terminal
Walmart+ Referral Program,walmart-plus-referral-program,referral_program,,referral-programs,,,,,walmart_plus_referral,Share your Walmart+ referral link,walmart.com,/plus/refer/%,https://walmart.com/plus/refer/abc123,
